"0x01c2"	"=\"
"0x0268"	"1"
"0x00f8"	"2"
"0x025c"	"3"
"0x027e"	"4"
"0x026b"	"5"
"0x0250"	"6"
"0x0264"	"7"
"0x0275"	"8"
"0x0153"	"9"
"0x02de"	"`"
"0x0322"	"`"
"0x032f"	"_^"
"0x0320"	"_-"
"0x02d7"	"_-"
"0x02c1"	"_?\"
"0x02e4"	"_?\"
"0x0308"	"_""
"0x031a"	"_}"
"0x02d6"	"_+"
"0x031f"	"_+"
"0x0329"	"_="
"0x0027"	"_>"
"0x02bc"	"_>"
"0x2019"	"_>"
"0x2070"	"_|"
"0x0303"	"_~"
"0x02dc"	"_~"
"0x030a"	"_0"
"0x02da"	"_0"
"0x02f3"	"_0"
"0x0325"	"_0"
"0x1e01"	"_0"
"0x00b9"	"_1"
"0x00b2"	"_2"
"0x00b3"	"_3"
"0x2074"	"_4"
"0x2075"	"_5"
"0x2076"	"_6"
"0x2077"	"_7"
"0x2078"	"_8"
"0x2079"	"_9"
"0x033a"	"_a"
"0x0318"	"_A"
"0x02f5"	"_B"
"0x02e9"	"_B"
"0x030f"	"_B"
"0x1dc6"	"_B_L"
"0x1dc5"	"_B_L"
"0x031c"	"_c"
"0x02d3"	"_c"
"0x032a"	"_d"
"0x0334"	"_e"
"0x02c6"	"_F"
"0x0302"	"_F"
"0x1dc9"	"_F_R"
"0x02e0"	"_G"
"0x02b0"	"_h"
"0x02ca"	"_H"
"0x02e6"	"_H"
"0x0301"	"_H"
"0x1dc4"	"_H_T"
"0x0321"	"_j"
"0x02b2"	"_j"
"0x0330"	"_k"
"0x02f7"	"_k"
"0x02e1"	"_l"
"0x02e8"	"_L"
"0x02f4"	"_L"
"0x0300"	"_L"
"0x02cb"	"_L"
"0x033b"	"_m"
"0x0304"	"_M"
"0x02e7"	"_M"
"0x02c9"	"_M"
"0x033c"	"_N"
"0x02d5"	"_o"
"0x031d"	"_o"
"0x0339"	"_O"
"0x02d2"	"_O"
"0x0319"	"_q"
"0x02d4"	"_r"
"0x031e"	"_r"
"0x02c7"	"_R"
"0x030c"	"_R"
"0x1dc8"	"_R_F"
"0x0324"	"_t"
"0x02dd"	"_T"
"0x02f6"	"_T"
"0x02e5"	"_T"
"0x030b"	"_T"
"0x1dc7"	"_T_H"
"0x032c"	"_v"
"0x02ec"	"_v"
"0x02b7"	"_w"
"0x032b"	"_w"
"0x033d"	"_x"
"0x02df"	"_x"
"0x0306"	"_X"
"0x02d8"	"_X"
"0x0361"	"-\"
"0x035c"	"-\"
"0x02d0"	":"
"0x02d1"	":\"
"0x01c3"	"!\"
"0x0021"	"!\"
"0x0241"	"?"
"0x0294"	"?"
"0x0295"	"?\"
"0X002e"	"."
"0x02c8"	"""
"0x0028"	"("
"0x0029"	")"
"0x005b"	"["
"0x005d"	"]"
"0x00e6"	"{"
"0x01fd"	"{_H"
"0x01e3"	"{_M"
"0x0289"	"}"
"0x0259"	"@"
"0x01dd"	"@"
"0x025a"	"@`"
"0x0258"	"@\"
"0x0276"	"&"
"0x02cc"	"%"
"0x02a2"	"<\"
"0x02a1"	">\"
"0x007c"	"|"
"0x01c0"	"|\"
"0x01c1"	"|\|\"
"0x2016"	"||"
"0x01ff"	"2_H"
"0x025d"	"3`"
"0x025e"	"3\"
"0x1d73"	"4_e"
"0x0061"	"a"
"0x0251"	"A"
"0x00e4"	"a_""
"0x01df"	"a_"_M"
"0x00e3"	"a_~"
"0x1eab"	"a_~_F"
"0x00e2"	"a_F"
"0x00e1"	"a_H"
"0x00e0"	"a_L"
"0x0101"	"a_M"
"0x01ce"	"a_R"
"0x0103"	"a_X"
"0x1eb5"	"a_X_~"
"0x1eaf"	"a_X_H"
"0x1eb1"	"a_X_L"
"0x0062"	"b"
"0x0253"	"b_<"
"0x1d6c"	"b_e"
"0x1d80"	"b_j"
"0x0299"	"B\"
"0x0063"	"c"
"0x00e7"	"C"
"0x0255"	"c_-"
"0x0188"	"c_<"
"0x0064"	"d"
"0x00f0"	"D"
"0x0256"	"d`"
"0x0221"	"d_-"
"0x0257"	"d_<"
"0x010f"	"d_>"
"0x1d6d"	"d_e"
"0x1d81"	"d_j"
"0x02a3"	"dz"
"0x02a4"	"dZ"
"0x02a5"	"dz\"
"0x0065"	"e"
"0x025b"	"E"
"0x00eb"	"E_""
"0x1ebd"	"e_~"
"0x1ec5"	"e_~_F"
"0x0205"	"e_B"
"0x00ea"	"E_F"
"0x00e9"	"E_H"
"0x1e1b"	"e_k"
"0x00e8"	"e_L"
"0x0113"	"e_M"
"0x011b"	"e_R"
"0x0115"	"e_X"
"0x0066"	"f"
"0x0271"	"F"
"0x1d6e"	"f_e"
"0x1d82"	"f_j"
"0x02a9"	"fN"
"0x0067"	"g"
"0x0261"	"g"
"0x0263"	"G"
"0x0260"	"g_<"
"0x1d83"	"g_j"
"0x011f"	"g_X"
"0x0262"	"G\"
"0x029b"	"G\_<"
"0x0068"	"h"
"0x0265"	"H"
"0x1e27"	"h_""
"0x0266"	"h\"
"0x029c"	"H\"
"0x0069"	"i"
"0x026a"	"I"
"0x00ef"	"I_"""
"0x1e2f"	"i_""_H"
"0x0129"	"i_~"
"0x0209"	"i_B"
"0x1d7b"	"I_e"
"0x00ee"	"I_F"
"0x00ed"	"i_H"
"0x1e2d"	"i_k"
"0x00ec"	"i_L"
"0x012b"	"i_M"
"0x01d0"	"i_R"
"0x012d"	"i_X"
"0x006a"	"j"
"0x0272"	"J"
"0x01f0"	"j_R"
"0x029d"	"j\"
"0x025f"	"J\"
"0x0284"	"J\_<"
"0x006b"	"k"
"0x026c"	"K"
"0x0199"	"k_<"
"0x1d84"	"k_j"
"0x026e"	"K\"
"0x006c"	"l"
"0x028e"	"L"
"0x026d"	"l`"
"0x0234"	"l_-"
"0x013a"	"l_H"
"0x1d85"	"l_j"
"0x027a"	"l\"
"0x029f"	"L\"
"0x02aa"	"ls"
"0x02ab"	"lz"
"0x006d"	"m"
"0x026f"	"M"
"0x1d6f"	"m_e"
"0x1e3f"	"m_H"
"0x1d86"	"m_j"
"0x0270"	"M\"
"0x006e"	"n"
"0x014b"	"N"
"0x0273"	"n`"
"0x1d70"	"n_e"
"0x0144"	"n_H"
